outmigration_year,oage1,oage2,oage3,oage4,oage5,Total
1926,0,140993,1341004.3,862,0,1482859.3
1927,0,10794,74154,768,0,85716
1928,0,18407,155185,11731,0,185323
1929,420,146438,2727903,721,0,2875482
1930,66,116230,413285,13547,0,543128
1931,0,59359,1351090,6035,0,1416484
1932,0,85301,348671,6807,0,440779
1933,0,48436,967204,32,0,1015672
1934,943,100839,313743,11005,0,426530
1935,0,98902,290936,147259,0,537097
1936,0,24128,1748406,10511,0,1783045
1937,14,74767,276996,21861,0,373638
1938,0,22886,575232,25373,0,623491
1939,12,47446,666667,39492,0,753617
1940,26,54899,1036295,16153,0,1107373
1941,29,85207,423346,11877,0,520459
1942,47,34757,310890,41600,0,387294
1943,19,25491,1087750,126561,0,1239821
1944,14,89069,3305794,20144,0,3415021
1945,48,270357,525618,11523,0,807546
1946,148,42936,301428,8446,0,352958
1947,24,24695,215436,8101,0,248256
1948,13,17121,214662,4582,0,236378
1949,9,17848,125431,11857,0,155145
1950,9,10812,315826,8871,0,335518
1951,5,26415,229798,352,0,256570
1952,15,18607,376502,1862,0,396986
1953,11,59442,525234,2692,0,587379
1954,0,8442,262588,663,0,271693
1955,0,4447,236280,2264,0,242991
1956,175,24316,233671,515,0,258677
1957,783,41274,505116,651,0,547824
1958,17,19984,171271,9,0,191281
1959,0,21578,207980,248,0,229806
1960,1066,29653,295608,21.01379474,0,326348.0138
1961,1522,116672,209440.2894,462.4937645,0,328096.7831
1962,266,69494.72057,755274.8782,6278.679577,0,831314.2783
1963,496.9762455,47773.24726,452524.2212,1141.749825,0,501936.1945
1964,699.3808147,11911.09921,425031.8081,4214.468752,0,441856.7569
1965,0,55749.73288,844133.5635,1858.839316,0,901742.1357
1966,210.7091952,32463.61713,390075.5953,6315.012979,0,429064.9346
1967,4129.350595,235772.5017,1946381.937,3332,0,2189615.79
1968,2052.063612,146519.3541,1192058,2689.992721,0,1343319.41
1969,3105.695553,31676,347747.059,13957.66201,0,396486.4165
1970,434,19102.94831,1114621.744,2336.880705,0,1136495.573
1971,0,19576.04112,476591.8681,1403.289258,0,497571.1985
1972,159.5526064,89138.1548,300129.6924,4834.963879,0,394262.3637
1973,897.0963843,32903.01835,1042721.126,3770.970868,0,1080292.211
1974,0,104515.9104,858393.2583,4388,0,967297.1687
1975,0,35527.98247,1207640,1140.98485,0,1244308.967
1976,49.78836636,147644,563461.5183,492.7536627,0,711648.0603
1977,167,111021.5258,330526.5282,1169.256796,0,442884.3108
1978,2179.971054,111851.9824,1268061.495,1241.212095,0,1383334.661
1979,468.7357955,100886.1569,1866085.459,7231.005339,0,1974671.357
1980,414.0909439,69427.83266,848777.6266,9251.997862,0,927871.5481
1981,4403.496177,497415.3672,3357805.849,1335,0,3860959.713
1982,1061.000783,143898.4536,721137,1350.998633,0,867447.453
1983,2494.999423,306469,1664387.316,4588,0,1977939.315
1984,1888,254406.7425,2327938,3354,0,2587586.743
1985,1921.998055,196858,596913,821.9998072,0,796514.9979
1986,7365,88785,532382.8752,5184.010207,0,633716.8854
1987,3384,82835.98058,639898.26,22398.98115,0,748517.2217
1988,2196.999485,368536.7257,2115471.219,4488,0,2490692.945
1989,2119.004172,235496.8018,930361,14957.99612,0,1182934.802
1990,2884.997572,162963,962944.7503,12425.0112,0,1141217.759
1991,8641,310090.9196,2060578.857,4802.995352,0,2384113.772
1992,3159.999181,285575.2574,729937.2936,9532.995599,0,1028205.546
1993,6062.005463,297613.712,2055956.051,4534.985642,0,2364166.754
1994,941.9990884,97794.95485,510624.3834,2418.002967,0,611779.3403
1995,2617.998791,114235.6383,554470.6805,983.0003964,0,672307.318
1996,2313.992674,255034.313,1732790.699,12398.00587,0,2002537.01
1997,2926.003591,745465.3006,2008907.951,8515.993327,0,2765815.249
1998,524.0002113,90457.04283,1205586.055,14628.03346,0,1311195.132
1999,0,60818.95235,800614.8314,3756,0,865189.7838
2000,1359.998934,242654.5551,759592,1015,0,1004621.554
2001,84.58005992,137885,752075,4393.45617,0,894438.0362
2002,1154,332806,1344773.589,8102.286281,0,1686835.876
2003,297,126863,680655.2771,15899,0,823714.2771
2004,0,92091.25156,470735,7159.395249,0,569985.6468
2005,0,105567,530389.514,1955,0,637911.514
2006,0,62608.75116,724801,3104.31462,0,790514.0658
2007,171.3396226,142668,999279.6948,2845.035145,0,1144964.07
2008,0,198294.3289,2858662.311,53503,0,3110459.64
2009,361.9616,171595.2553,971895,5158.371082,0,1149010.588
2010,2691.920598,546124,2312735.145,7162.16843,0,2868713.234
2011,0,48524.92565,177231.7368,0,0,225756.6624
2012,286.555415,221619.4404,798894,1053.517806,0,1021853.514
2013,4120.886246,358426,1192104.112,11513.82238,0,1566164.821
2014,4595,191875.1798,1057742.746,5562.906349,,
2015,946.1509824,78023.78343,122920.9158,,,
2016,1476.737234,135057.4825,,,,
2017,553.6961493,,,,,
